dataset,comparison_type,comparison,metric,mean_treatment,mean_baseline,delta,delta_pct,ci_low,ci_high,p_sign,wilcoxon_p,sign_test_p,n_positive,n_negative,n_zero,n_seeds,direction,claim_support,bh_p,bh_reject_05
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,mean_effort,0.04006838388741011,0.040048826485872234,1.9557401537879938e-05,0.0004883389415739994,9.09746624527955e-06,2.9553677886707884e-05,0.0,0.013671875,0.109375,8,2,0,10,higher_is_better,supports_treatment,0.017578125,True
etf,placement_vs_raw_node,ETF_GraphSignal-ICL minus ETF_RawNodeMLP_GLS_NoGraph_HardEffort,mean_systematic_exposure,0.9886373341083526,1.0022390127182006,-0.013601678609848056,-0.013571292313741599,-0.015619270950555802,-0.011623537093401021,0.0,0.001953125,0.001953125,0,10,0,10,lower_is_better,supports_treatment,0.0029296875,True
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,principal_CE,-0.5836698191295682,-0.5680381002831103,-0.01563171884645777,-0.027518785867777885,-0.01781751325964217,-0.013375748470167443,0.0,0.001953125,0.001953125,0,10,0,10,higher_is_better,supports_baseline,0.0029296875,True
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,policy_objective,-0.6821350895296154,-0.6667151847290639,-0.015419904800551687,-0.023128173999508977,-0.017372567194860744,-0.013301005846430463,0.0,0.001953125,0.001953125,0,10,0,10,higher_is_better,supports_baseline,0.0029296875,True
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,CVaR95_loss,0.8605304467863369,0.852033119390048,0.008497327396289011,0.009973001287041624,0.006828470390695349,0.010153827499694689,0.0,0.001953125,0.001953125,10,0,0,10,lower_is_better,supports_baseline,0.0029296875,True
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,CVaR99_loss,1.6673836772258466,1.6548363266847073,0.012547350541139224,0.007582230543771634,0.009895776632504509,0.015106338797471416,0.0,0.001953125,0.001953125,10,0,0,10,lower_is_better,supports_baseline,0.0029296875,True
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,crowding,0.984652704000473,0.9867708444595337,-0.002118140459060647,-0.0021465373353411464,-0.0049513562023639456,8.65767896175695e-05,0.0678,0.232421875,0.75390625,4,6,0,10,lower_is_better,mixed_or_not_significant,0.2670378989361702,False
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,co_crash_freq,0.17451948076486587,0.17410389482975003,0.00041558593511581974,0.0023869996447800283,-0.0001818194985389765,0.0009090945124626299,0.1612,0.25,0.1796875,7,2,1,10,lower_is_better,mixed_or_not_significant,0.28125,False
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,mean_payoff,0.013833758770488152,0.02378773745149369,-0.00995397868100554,-0.41844999764624763,-0.012227032446535292,-0.008161583887413148,0.0,0.001953125,0.001953125,0,10,0,10,higher_is_better,supports_baseline,0.0029296875,True
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,mean_effort,0.04006838388741011,0.04004598446190354,2.2399425506569592e-05,0.0005593426109256778,5.84646128117412e-06,3.977028653022582e-05,0.006,0.064453125,0.34375,7,3,0,10,higher_is_better,supports_treatment,0.0791015625,False
etf,learned_signal_vs_random_signal,ETF_GraphSignal-ICL minus ETF_RandomSignal-ICL,mean_systematic_exposure,0.9886373341083526,0.9836954295635223,0.004941904544830322,0.0050238157017950995,0.002957675009965886,0.006707954704761548,0.0,0.00390625,0.021484375,9,1,0,10,lower_is_better,supports_baseline,0.0052734375,True
